datetime,sma2_BTCUSDT,sma2_ETHUSDT,sma5_BTCUSDT,sma5_ETHUSDT,sma10_BTCUSDT,sma10_ETHUSDT,rsi14_BTCUSDT,rsi14_ETHUSDT,volume_BTCUSDT,volume_ETHUSDT,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
2023-11-25 00:00:00,,,,,,,,,0.0007789492728131628,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:01:00,0.8646909702748147,0.882300666502104,,,,,,,0.0009967200372555526,0.00010165996195012853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:02:00,0.859167694896243,0.8812638854603847,,,,,,,0.01092371657637556,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:03:00,0.839833987661244,0.8828931128116544,,,,,,,0.0003099045493987852,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:04:00,0.8347549074593346,0.8668476919279229,0.8613356724154713,0.8803108083814415,,,,,0.004801007776091451,0.0012925338019373486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:05:00,0.8410005608524997,0.8575660330782569,0.8563067686575252,0.8761360685536239,,,,,0.0012798220310306588,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:06:00,0.8493505328098649,0.8654653172056292,0.8550352612947592,0.8734993907676305,,,,,0.0004338663691582993,0.0032724825846803278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:07:00,0.8538149186763917,0.8712910392495701,0.8541083508549505,0.8721011525477884,,,,,0.0047624791023824125,0.000464731254629159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:08:00,0.8471385305664612,0.8759812392001969,0.8580352815651651,0.8707029143279499,,,,,0.00029650327158694585,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:09:00,0.841467190128995,0.8711922981979754,0.85686512623856,0.8738589377384507,0.8645415933356801,0.8760632326317577,,,5.695543070031729e-05,0.0003146617869884931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:10:00,0.8450342120022398,0.8681313255986218,0.8596919266653487,0.8749775283143251,0.8634199225624783,0.8745157929869585,,,0.00043219120943181934,0.0007116197336508997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:11:00,0.8450476724621367,0.8699580350530738,0.8550979152807514,0.8756766474242461,0.860432242168244,0.8735347364801278,,,0.16798669253113285,0.0016507641440473252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:12:00,0.8405877734155851,0.8736608244877822,0.8542594575270428,0.8759363202365016,0.8595330282764309,0.8729582393575583,,,0.0,0.060153651771061765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:13:00,0.844204150308471,0.8812145149345874,0.8538927474325675,0.877793979585725,0.8613464742461545,0.8731908610035113,,,0.0,0.0005809140682864487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:14:00,0.8492787436904123,0.8850654159466878,0.8574677101626591,0.8815492479475857,0.8625713950486968,0.8766902996773602,0.4617061329940826,0.5426364935747388,0.004481052268333786,0.0012392833456777573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:15:00,0.85260347728547,0.887780794865467,0.857001490796307,0.8857439626071155,0.8637737885720966,0.8793806195826939,0.4469760449210015,0.5765463805099342,0.0002847771535015864,0.0010069177183631777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:16:00,0.8581940549635405,0.8918785485065435,0.8628670095436775,0.8904180732277354,0.8644214478470076,0.8821012814418445,0.5164180829513518,0.5917482651353823,0.024619822500075383,0.2339534591012291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:17:00,0.8631071228266975,0.8901505801036791,0.8662503247872024,0.8924155563989373,0.8657177050334397,0.8832441617023825,0.4939281094238115,0.5503141084278028,0.0,0.0001839561216240421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:18:00,0.8672978126752682,0.8871389780301193,0.8723517173641753,0.8928150530331749,0.8686387422269135,0.8843870419629241,0.5534438310958758,0.5503141084278028,0.0006164587793446106,0.004216467945645807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 00:19:00,0.8747997756589996,0.8960256726734173,0.8767319680906951,0.8968499690390104,0.8726908365598973,0.8883314959594628,0.5611269977207853,0.654712577049971,6.030575015327713e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
