datetime,BTCUSDT,ETHUSDT
2023-11-25 02:33:00,37771.51,2084.39
2023-11-25 02:34:00,37782.67,2084.39
2023-11-25 02:35:00,37786.34,2084.39
2023-11-25 02:36:00,37797.1,2086.27
2023-11-25 02:37:00,37782.53,2086.27
2023-11-25 02:38:00,37799.93,2086.27
2023-11-25 02:39:00,37791.08,2086.27
2023-11-25 02:40:00,37801.85,2086.66
2023-11-25 02:41:00,37781.46,2086.66
2023-11-25 02:42:00,37791.73,2087.0
2023-11-25 02:43:00,37810.6,2087.79
2023-11-25 02:44:00,37813.55,2086.49
2023-11-25 02:45:00,37808.52,2086.73
2023-11-25 02:46:00,37813.67,2086.73
2023-11-25 02:47:00,37819.74,2086.73
2023-11-25 02:48:00,37803.46,2086.73
2023-11-25 02:49:00,37819.75,2086.29
2023-11-25 02:50:00,37808.21,2086.29
2023-11-25 02:51:00,37819.9,2086.08
2023-11-25 02:52:00,37808.22,2086.07
2023-11-25 02:53:00,37814.79,2086.69
2023-11-25 02:54:00,37826.24,2086.69
2023-11-25 02:55:00,37826.74,2086.69
2023-11-25 02:56:00,37827.99,2086.69
2023-11-25 02:57:00,37827.76,2087.69
2023-11-25 02:58:00,37826.88,2087.69
2023-11-25 02:59:00,37827.24,2087.71
2023-11-25 03:00:00,37827.98,2087.71
2023-11-25 03:01:00,37828.0,2087.71
2023-11-25 03:02:00,37828.0,2087.71
2023-11-25 03:03:00,37832.59,2087.71
2023-11-25 03:04:00,37820.0,2087.71
2023-11-25 03:05:00,37831.49,2087.71
2023-11-25 03:06:00,37831.49,2087.71
2023-11-25 03:07:00,37820.02,2087.71
2023-11-25 03:08:00,37829.38,2087.71
2023-11-25 03:09:00,37835.75,2085.09
2023-11-25 03:10:00,37821.7,2084.42
2023-11-25 03:11:00,37810.04,2083.82
2023-11-25 03:12:00,37810.04,2083.82
2023-11-25 03:13:00,37810.04,2083.82
2023-11-25 03:14:00,37828.92,2085.7
2023-11-25 03:15:00,37828.66,2087.08
2023-11-25 03:16:00,37814.31,2087.34
2023-11-25 03:17:00,37829.07,2085.79
2023-11-25 03:18:00,37829.09,2087.33
2023-11-25 03:19:00,37835.44,2086.34
2023-11-25 03:20:00,37836.65,2087.52
2023-11-25 03:21:00,37839.21,2087.52
2023-11-25 03:22:00,37822.11,2087.52
2023-11-25 03:23:00,37839.61,2087.36
2023-11-25 03:24:00,37840.97,2087.74
2023-11-25 03:25:00,37843.82,2088.15
2023-11-25 03:26:00,37845.4,2088.15
2023-11-25 03:27:00,37841.0,2088.15
2023-11-25 03:28:00,37841.0,2088.15
2023-11-25 03:29:00,37841.0,2088.27
2023-11-25 03:30:00,37845.4,2088.2
2023-11-25 03:31:00,37831.18,2088.8
2023-11-25 03:32:00,37839.9,2090.08
2023-11-25 03:33:00,37840.94,2089.77
2023-11-25 03:34:00,37838.3,2089.85
2023-11-25 03:35:00,37838.3,2089.85
2023-11-25 03:36:00,37842.23,2089.85
2023-11-25 03:37:00,37837.79,2089.85
2023-11-25 03:38:00,37811.08,2089.85
2023-11-25 03:39:00,37833.93,2086.72
2023-11-25 03:40:00,37830.66,2085.46
2023-11-25 03:41:00,37823.92,2085.46
2023-11-25 03:42:00,37803.46,2085.46
2023-11-25 03:43:00,37819.4,2085.46
2023-11-25 03:44:00,37822.5,2085.46
2023-11-25 03:45:00,37816.0,2085.46
2023-11-25 03:46:00,37826.46,2088.39
2023-11-25 03:47:00,37802.0,2087.97
2023-11-25 03:48:00,37792.54,2088.25
2023-11-25 03:49:00,37792.01,2087.91
2023-11-25 03:50:00,37789.51,2089.11
